Number;Tweet
2; jokowi minta luhut kerja pimpin ppkm yang kasih kerja kini minta untuk evaluasi hasil kerja sendiri angeee 
4;ppkm npengen peluk km
5; kamu kangen siapa kalo aku kangen harun mas pegang rekor ppkm paling lama
7; siap ppkm nek tenan minggu
8; dukung sepenuh bijak perintah dalam laku ppkm darurat demi tekan sebar virus kovid dan mend 
9; ppkm beri sempat kpd sy nonton serial sinetron ikat cinta asyik jg sih
10;beeegh hujantweetnya bikin ppkm pgn peluk kamu mbak 
11;beli puma ralph sampson leather black white original flash sale ppkm
13;para mafia obat di masa ppkm darurat harus berantas nvaksin ajar aman
15;pjabat enak manfatkan masa ppkm dgn santai dan nonton sinetron rumah nrakyat kecil lagi megap-megap cari 
19; please help nhalo maaf banget aku tiba balik semenjak ppkm ini ekonomi keluarga aku makin turun jadi 
21; bagi mereka yang langgar laksana ppkm darurat dapat kena sanksi pidana sesuai dengan uu yang laku
22; dagang kecil banyak yg dampak lama ppkm darurat ini lu asik makan gaji bulan dan banyak fasilitas htt 
23; dakwah yahya waloni sebut ppkm strategi komunis
24; perempuan buat kamu desah ppkm pa 
28; bagaimana kita harus sambut idul adha di masa ppkm darurat dan tengah kasus covid yang masih tinggi nberikut 
34; sy tuju dgn ide drpd ppkm tengah tengah dan hasil juga akan tengah
35;ppkm hancur semua plan ekonomi saya tekan semene paham po rak
40;keliru jadi luhut bagai kordinator ppkm nluhut itu
44;bukan mas ppkm
46;promo khusus hampers birdnest sarang walet dollarnest di masa ppkm nppkm pilih promo yang kamu mau nbagaimana kab 
49;aku di kabar teman lama ppkm kata angka hamil tingkat terus aku bilg 
55;ppkm beri sempat kepada saya utk tonton sinetron tingkah jabat wakanda nasyik jg sih tapi paham mrk 
57;terus lawan rakyat di ppkm warga cina bebas masuk
59;ppkm trus
62;sampai kapan ppkm
63;alhamdulillah ibu dan mas nasi kuning sudah jual lagi nsemoga ppkm ga panjang biar mereka ini bisa makan
64;emang uda paling bener ngelamar kerja jadi jabat bebas no ppkm
66; mahfud asyik nonton sinetron ikat cinta saat ppkm darurat
68; saya psbb ppkm mana sempat nonton sinetron covid nya kemaren
69;para mafia obat di masa ppkm harus berantas nvaksin ajar aman
71;alih alih ppkm itu program perintah ingin masyarakat malah jadi program perintah 
73;padahal lama ppkm ini banyak jadi yg singgung dengan hukum knp gak ngasih concern sm hal 
74; pak bijak dikit nkenikmatan ppkm yg sedang anda nikmat
76;ic lah kagak ada ppkm bang
77;tni dan polri sudah ambil langkah persuasif dalam sikap ppkm di lapang karena tiap perat 
79; kalau razia sudah jalan dan orang lg sholatpun usir sementara lama ppkm orang caina biar pada datang 
80;wkwkwkkw ppkm ga laku buat yg lagi bucin
82;personel dishub depok dalam rangka laksana ppkm di stasiun depok lama
83;suruh prokes gk maumengeluh ppkm tp kl beli rokokmakan quotanongkrong sok tajir dpn selingkuh doyan ap 
85;bebas langgar ppkm jual gak boleh lalu ngater boleh eaa
86; cara paling goblok perintah terap ppkm dan yg tugas ga pake otak manusia wna china lo elus
87;kalo aku jd jabat yg walau dengan ppkm gaji dan tunjang tetap alir lancar kek bakal ma 
90;ga kmn soal ppkm
91; gue percaya ppkm adalah jalan yang tepat kurang sebar virus corona tapi kalau lawan adalah rakyat yang lapar
92; ppkm beri sempat kpd nahdliyin nikmat jadi muhammadiyin asyik jg sih
93; lockdown total sejawa bal nppkm darurat di luar jawa bal nlalu perintah biaya butuh pokok masyarakat selam 
97;ini satpol-pp lagi ppkm gin malah kek anjing yang ga kasi tulang sama majikan
